split,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,kappa,log_loss,brier,features,model_id,feature_dim,train_seconds
test,0.7068045363575717,0.7068045363575717,0.7088948787061995,0.7018012008005337,0.705330204492122,0.7689237788501208,0.7640512344890418,0.41360907271514347,,,all,linear_svm_ablation,4732,1.3999878350296058
test,0.680787191460974,0.680787191460974,0.6809078771695594,0.6804536357571714,0.6806806806806807,0.7439213422690956,0.7250888015500584,0.361574382921948,,,hog_texture_frequency,linear_svm_ablation,4596,2.2255201999796554
test,0.6627751834556371,0.662775183455637,0.6639784946236559,0.6591060707138092,0.6615333110143957,0.7278488082559821,0.7161793045138666,0.32555036691127415,,,hog_texture,linear_svm_ablation,4543,1.1379905290086754
test,0.637758505670447,0.6377585056704469,0.6398104265402843,0.6304202801867912,0.6350806451612904,0.6894011173114742,0.6776632031842227,0.2755170113408939,,,hog,linear_svm_ablation,4356,1.2528873499832116
test,0.6344229486324217,0.6344229486324215,0.6342438374417055,0.6350900600400267,0.6346666666666667,0.6839097979929694,0.6603087368138647,0.2688458972648432,,,stats,linear_svm_ablation,376,0.14659408602165058
test,0.561707805203469,0.561707805203469,0.5614617940199336,0.5637091394262842,0.5625832223701731,0.5848996061862011,0.5591759640437963,0.12341561040693794,,,frequency,linear_svm_ablation,53,0.04267426300793886
test,0.5607071380920614,0.5607071380920614,0.5540380047505938,0.6224149432955304,0.586239396795476,0.5821172309224607,0.55977029634557,0.1214142761841227,,,texture,linear_svm_ablation,187,0.0468948429916054
test,0.5433622414943295,0.5433622414943295,0.5440976933514247,0.5350233488992662,0.539522367978473,0.5681426042979065,0.5400949635832101,0.08672448298865909,,,color,linear_svm_ablation,136,0.052316863962914795
