split,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,kappa,log_loss,brier,model_id,variant
test,0.7311541027351568,0.7311541027351567,0.727810650887574,0.7384923282188125,0.733112582781457,0.8094535783473171,0.804887877689856,0.4623082054703136,0.5340397191562807,0.17880131326792462,stats_hgb,default
test,0.6347565043362241,0.6347565043362242,0.6426553672316384,0.6070713809206137,0.6243567753001715,0.6862658272070195,0.66878476121778,0.2695130086724483,0.6464342744079073,0.22684563060476068,stats_hgb,res64
test,0.733822548365577,0.733822548365577,0.7254019292604501,0.752501667778519,0.7387033398821218,0.8049929661802553,0.7990695306149063,0.46764509673115406,0.5389115460882427,0.1807981516687482,stats_hgb,jpeg95
test,0.7008005336891261,0.7008005336891261,0.721976401179941,0.6531020680453635,0.6858143607705779,0.779711713523937,0.7715411476370522,0.4016010673782522,0.5658582948402662,0.19249277772894602,stats_hgb,jpeg75
test,0.6497665110073382,0.6497665110073383,0.7453551912568306,0.4549699799866578,0.5650372825186413,0.7394389232581561,0.7338761760912588,0.29953302201467646,0.6365369396194503,0.2210937993979713,stats_hgb,jpeg50
test,0.718812541694463,0.718812541694463,0.6945432977461448,0.781187458305537,0.7353218210361068,0.7978354259744432,0.7942118377881366,0.4376250833889259,0.5487126532640454,0.18511676583559633,stats_hgb,crop5
test,0.6957971981320881,0.6957971981320881,0.6644257703081232,0.7911941294196131,0.7222898903775883,0.7749600467467526,0.7663832055287585,0.39159439626417614,0.5753276502370864,0.1962440219529938,stats_hgb,crop10
